incident_id,dimension,score,question
939a7ca3c8f7,clarity,1-5,"Does the report clearly explain what happened, where, and during which time window?"
939a7ca3c8f7,actionability,1-5,Does the report give useful response or triage actions without overclaiming?
939a7ca3c8f7,analyst_alignment,1-5,How closely does the generated report align with an analyst-authored report for the same incident?
939a7ca3c8f7,unsupported_claims,0-5,Count or score claims not supported by the incident abstraction. Lower is better.
939a7ca3c8f7,notes,free text,"Reviewer notes, disagreements, or evidence gaps."
4d9a58230cdb,clarity,1-5,"Does the report clearly explain what happened, where, and during which time window?"
4d9a58230cdb,actionability,1-5,Does the report give useful response or triage actions without overclaiming?
4d9a58230cdb,analyst_alignment,1-5,How closely does the generated report align with an analyst-authored report for the same incident?
4d9a58230cdb,unsupported_claims,0-5,Count or score claims not supported by the incident abstraction. Lower is better.
4d9a58230cdb,notes,free text,"Reviewer notes, disagreements, or evidence gaps."
79529f844d92,clarity,1-5,"Does the report clearly explain what happened, where, and during which time window?"
79529f844d92,actionability,1-5,Does the report give useful response or triage actions without overclaiming?
79529f844d92,analyst_alignment,1-5,How closely does the generated report align with an analyst-authored report for the same incident?
79529f844d92,unsupported_claims,0-5,Count or score claims not supported by the incident abstraction. Lower is better.
79529f844d92,notes,free text,"Reviewer notes, disagreements, or evidence gaps."
223b1805334c,clarity,1-5,"Does the report clearly explain what happened, where, and during which time window?"
223b1805334c,actionability,1-5,Does the report give useful response or triage actions without overclaiming?
223b1805334c,analyst_alignment,1-5,How closely does the generated report align with an analyst-authored report for the same incident?
223b1805334c,unsupported_claims,0-5,Count or score claims not supported by the incident abstraction. Lower is better.
223b1805334c,notes,free text,"Reviewer notes, disagreements, or evidence gaps."
c071266b8779,clarity,1-5,"Does the report clearly explain what happened, where, and during which time window?"
c071266b8779,actionability,1-5,Does the report give useful response or triage actions without overclaiming?
c071266b8779,analyst_alignment,1-5,How closely does the generated report align with an analyst-authored report for the same incident?
c071266b8779,unsupported_claims,0-5,Count or score claims not supported by the incident abstraction. Lower is better.
c071266b8779,notes,free text,"Reviewer notes, disagreements, or evidence gaps."
